Date,Open,High,Low,Close,Adj Close,Volume
2019-12-29,0.040015,0.043260,0.037759,0.041151,0.041151,13022
2019-12-30,0.041151,0.043811,0.037658,0.038996,0.038996,12730
2019-12-31,0.038971,0.043541,0.037307,0.040709,0.040709,20586
2020-01-01,0.040709,0.041364,0.037881,0.039923,0.039923,15554
2020-01-02,0.040139,0.040606,0.034915,0.034915,0.034915,11827
2020-01-03,0.034920,0.039765,0.034822,0.038582,0.038582,10036
2020-01-04,0.038582,0.043986,0.031850,0.043933,0.043933,5659
2020-01-05,0.043895,0.044467,0.032771,0.041465,0.041465,13265
2020-01-06,0.041499,0.045976,0.041226,0.043515,0.043515,12480
2020-01-07,0.043507,0.046992,0.042040,0.044784,0.044784,6812
2020-01-08,0.044796,0.048805,0.043229,0.043734,0.043734,17135
2020-01-09,0.043662,0.050788,0.043195,0.046555,0.046555,19060
2020-01-10,0.046504,0.049786,0.045776,0.046080,0.046080,17004
2020-01-11,0.046093,0.049124,0.045544,0.046924,0.046924,11237
2020-01-12,0.046912,0.048543,0.042321,0.047797,0.047797,11214
2020-01-13,0.047801,0.048470,0.042190,0.045062,0.045062,14945
2020-01-14,0.045108,0.050417,0.042411,0.042411,0.042411,21980
2020-01-15,0.042346,0.045053,0.033445,0.034995,0.034995,20158
2020-01-16,0.035003,0.040015,0.034891,0.038319,0.038319,14002
2020-01-17,0.038323,0.040986,0.036411,0.038406,0.038406,14743
2020-01-18,0.038396,0.041080,0.037149,0.039994,0.039994,16742
2020-01-19,0.039826,0.042267,0.035182,0.037994,0.037994,17510
2020-01-20,0.037990,0.040024,0.034410,0.035422,0.035422,10945
2020-01-21,0.035406,0.040035,0.035124,0.038753,0.038753,13078
2020-01-22,0.038746,0.039808,0.035826,0.038487,0.038487,13569
2020-01-23,0.038493,0.038901,0.035411,0.036831,0.036831,13515
2020-01-24,0.036875,0.037827,0.034189,0.036943,0.036943,12950
2020-01-25,0.036939,0.038735,0.035619,0.037341,0.037341,14558
2020-01-26,0.037337,0.038591,0.034136,0.037361,0.037361,9277
2020-01-27,0.037384,0.039873,0.034983,0.039208,0.039208,15096
